filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch_0.fast5	6f063138-fe88-4603-8dc5-02cc4d537ba4	91f216faec432f6717a2618d5a951d151cf86098	0	248	3	11311.108234	11.040173	3325	TRUE	11312.805113	2814	9.343293	713	8.548786	0.000000	66.681267	9.132434	66.681267	9.132434
batch_0.fast5	53f27e4f-0636-4699-a12c-fd5aff3d6605	91f216faec432f6717a2618d5a951d151cf86098	0	405	4	11488.191567	16.785857	5055	TRUE	11489.154714	4765	15.822709	1441	9.677216	0.000000	85.091095	13.916090	85.091095	13.916090
batch_0.fast5	54053aaa-8371-424c-917f-122d5b1bb6d9	91f216faec432f6717a2618d5a951d151cf86098	0	507	2	11433.796813	6.401062	1928	TRUE	11435.893426	1296	4.304449	318	9.779566	0.000000	79.582642	12.176579	79.582642	12.176579
batch_0.fast5	7015a019-eb47-4ed3-be91-56759a765daa	91f216faec432f6717a2618d5a951d151cf86098	0	417	1	11432.571049	18.750332	5647	TRUE	11432.726760	5600	18.594622	912	7.999891	0.000000	72.914513	7.972760	72.914513	7.972760
batch_0.fast5	6e997549-2375-4148-91ae-849c12d19a08	91f216faec432f6717a2618d5a951d151cf86098	0	496	1	11423.127822	10.660359	3210	TRUE	11424.109230	2915	9.678951	906	10.520090	0.000000	80.452393	12.901375	80.452393	12.901375
batch_0.fast5	6ea8975d-f381-488d-9424-fd8f41a0b944	91f216faec432f6717a2618d5a951d151cf86098	0	136	2	11415.186587	4.233400	1275	TRUE	11415.352590	1225	4.067397	203	7.622785	0.000000	73.929230	8.407638	73.929230	8.407638
batch_0.fast5	7fbc2ff8-7303-4a7b-acd8-9332fbf89ebe	91f216faec432f6717a2618d5a951d151cf86098	0	84	1	11561.463811	7.688579	2315	FALSE	11563.430943	1723	5.721448	231	5.520521	0.000000	102.051331	7.103004	102.051331	7.103004
batch_0.fast5	5d7d873b-bcd8-4002-9c9f-170548774279	91f216faec432f6717a2618d5a951d151cf86098	0	182	4	11481.048141	2.574037	775	FALSE	11481.828353	540	1.793825	204	4.605402	0.000000	63.927040	7.247963	63.927040	7.247963
batch_0.fast5	5e0d94ad-24cb-404a-b216-5d76257ada03	91f216faec432f6717a2618d5a951d151cf86098	0	138	3	11579.717795	3.861886	1163	TRUE	11581.543161	613	2.036521	153	8.969624	0.000000	83.351578	12.321538	83.351578	12.321538
batch_0.fast5	7548f64a-03c3-4872-84ac-7f94e3d317d4	91f216faec432f6717a2618d5a951d151cf86098	0	266	3	11388.645418	11.947875	3598	TRUE	11389.237384	3420	11.355910	332	8.505877	0.000000	77.553207	11.741701	77.553207	11.741701
batch_0.fast5	7d3ab228-b61d-430a-bca4-9241af4dce5f	91f216faec432f6717a2618d5a951d151cf86098	0	38	4	11507.047477	11.570385	3485	TRUE	11511.217131	2229	7.400730	496	12.611959	0.000000	85.670929	12.611457	85.670929	12.611457
batch_0.fast5	7cb8157a-09a0-4f51-83fb-67c1c0ed2b57	91f216faec432f6717a2618d5a951d151cf86098	0	250	3	11518.708499	10.922311	3289	TRUE	11520.654714	2703	8.976096	651	10.708097	0.000000	81.177193	13.916090	81.177193	13.916090
batch_0.fast5	7b2edd99-0bc7-44e1-8931-87211cfa06a3	91f216faec432f6717a2618d5a951d151cf86098	0	460	4	11426.489044	16.783533	5055	TRUE	11426.634794	5011	16.637782	1360	10.271732	0.000000	80.887276	13.916090	80.887276	13.916090
batch_0.fast5	7550a8ef-5cdf-4cbb-8730-ec87b55dc4b1	91f216faec432f6717a2618d5a951d151cf86098	0	378	2	11436.487052	8.207171	2472	TRUE	11438.813413	1771	5.880810	449	10.970033	0.000000	75.668739	12.031619	75.668739	12.031619
batch_0.fast5	58285eb4-cb74-4768-90fe-180baba7beaf	91f216faec432f6717a2618d5a951d151cf86098	0	486	4	11521.988380	21.509628	6478	TRUE	11523.664675	5973	19.833333	1537	7.362802	0.000000	77.698166	12.031619	77.698166	12.031619
batch_0.fast5	6ad9df12-0eff-41e2-8bf5-40c928938c87	91f216faec432f6717a2618d5a951d151cf86098	0	123	1	11586.115538	29.322045	8831	TRUE	11588.740704	8041	26.696879	2029	10.694829	0.000000	84.221336	14.350967	84.221336	14.350967
batch_0.fast5	6e691908-81e0-415a-b921-bb3e0ccd0b64	91f216faec432f6717a2618d5a951d151cf86098	0	123	1	11512.709827	3.432603	1033	TRUE	11513.825033	698	2.317397	172	9.200083	0.000000	95.238243	10.582026	95.238243	10.582026
batch_0.fast5	7e836cda-8217-4728-8816-792a7ab9ae3c	91f216faec432f6717a2618d5a951d151cf86098	0	151	2	11492.368194	12.372842	3726	TRUE	11493.888446	3268	10.852590	925	12.155413	0.000000	86.830605	13.481213	86.830605	13.481213
batch_0.fast5	381cc7d9-2d4e-4623-a3aa-b301c68e2ee2	91f216faec432f6717a2618d5a951d151cf86098	0	499	4	11420.089641	8.254648	2486	TRUE	11422.342961	1807	6.001328	446	11.300242	0.000000	77.988091	12.466497	77.988091	12.466497
batch_0.fast5	39cba211-545b-4680-a775-530a24accf41	91f216faec432f6717a2618d5a951d151cf86098	0	451	3	11595.984064	18.705511	5634	TRUE	11597.176295	5275	17.513280	1227	10.469612	0.000000	75.668739	12.466497	75.668739	12.466497
batch_0.fast5	6eda7578-7216-48f4-9625-8dd85c136024	91f216faec432f6717a2618d5a951d151cf86098	0	207	3	11568.315737	18.708167	5634	TRUE	11570.588645	4950	16.435259	1284	10.993559	0.000000	80.742317	13.771131	80.742317	13.771131
batch_0.fast5	63e22e7b-aaa6-4aef-a506-773be033b008	91f216faec432f6717a2618d5a951d151cf86098	0	122	1	11562.244688	25.282205	7615	TRUE	11564.055777	7069	23.471116	1827	11.383758	0.000000	78.857841	11.886661	78.857841	11.886661
batch_0.fast5	7b4d5a35-abde-4a80-97a6-389df3606967	91f216faec432f6717a2618d5a951d151cf86098	0	40	3	11381.977424	9.364542	2820	TRUE	11382.114874	2779	9.227092	633	8.836444	0.000000	71.609879	12.031619	71.609879	12.031619
batch_0.fast5	654b7b12-5498-45a9-ac55-8f73e1ff9452	91f216faec432f6717a2618d5a951d151cf86098	0	124	2	11383.504980	17.725764	5339	TRUE	11383.725100	5272	17.505644	1178	10.048463	0.000000	80.307434	13.336253	80.307434	13.336253
batch_0.fast5	6a11032e-b4ff-48b7-94af-bae9aee737a4	91f216faec432f6717a2618d5a951d151cf86098	0	286	3	11497.560093	12.179615	3668	TRUE	11500.210491	2870	9.529216	802	9.561692	0.000000	76.393539	10.002190	76.393539	10.002190
batch_0.fast5	7fc5f3b0-15e3-42b2-8634-fdd6b9a4eafd	91f216faec432f6717a2618d5a951d151cf86098	0	479	1	11365.556441	20.567729	6195	TRUE	11367.084329	5734	19.039841	1489	10.549662	0.000000	77.408249	13.771131	77.408249	13.771131
batch_0.fast5	64c2fe98-2d44-4415-afda-1f720fc396e4	91f216faec432f6717a2618d5a951d151cf86098	0	103	2	11510.350598	15.460823	4656	TRUE	11512.086985	4133	13.724436	1164	11.725364	0.000000	84.656212	13.046334	84.656212	13.046334
batch_0.fast5	62b1d1cf-b4da-49e0-9e50-8ce4011fc1f3	91f216faec432f6717a2618d5a951d151cf86098	0	488	3	11461.749004	15.223440	4585	TRUE	11464.460823	3768	12.511620	864	13.731149	0.000000	86.975563	13.626171	86.975563	13.626171
batch_0.fast5	730c4f22-e90b-431b-8e1a-9ba581a79433	91f216faec432f6717a2618d5a951d151cf86098	0	9	1	11583.220452	16.161023	4867	TRUE	11583.598606	4753	15.782869	887	9.052372	0.000000	78.712883	11.451782	78.712883	11.451782
batch_0.fast5	798a2829-594b-462e-b911-816bda8f2d7c	91f216faec432f6717a2618d5a951d151cf86098	0	382	1	11416.228752	3.992696	1202	TRUE	11418.290505	581	1.930943	162	10.118383	0.000000	89.149948	12.901375	89.149948	12.901375
batch_0.fast5	798e710a-6f80-4700-bff6-c5e5ec76beb8	91f216faec432f6717a2618d5a951d151cf86098	0	279	4	11391.647410	9.161687	2759	TRUE	11393.259628	2273	7.549469	772	10.916167	0.000000	86.685646	14.061049	86.685646	14.061049
