,ac4C
312,LOC_Os02g47130.1.MSUv7.0
313,LOC_Os08g02110.1.MSUv7.0
314,LOC_Os03g39610.2.MSUv7.0
315,LOC_Os07g38130.1.MSUv7.0
316,LOC_Os06g06030.1.MSUv7.0
317,LOC_Os11g04200.1.MSUv7.0
318,LOC_Os04g50990.1.MSUv7.0
319,LOC_Os03g51600.2.MSUv7.0
320,LOC_Os01g01060.1.MSUv7.0
321,LOC_Os02g39050.1.MSUv7.0
322,LOC_Os05g48750.1.MSUv7.0
323,LOC_Os08g40150.1.MSUv7.0
324,LOC_Os05g48800.1.MSUv7.0
325,LOC_Os06g16290.1.MSUv7.0
326,LOC_Os05g34170.2.MSUv7.0
327,LOC_Os12g17600.1.MSUv7.0
328,LOC_Os10g25570.1.MSUv7.0
329,LOC_Os03g48770.1.MSUv7.0
330,LOC_Os12g36810.1.MSUv7.0
331,LOC_Os07g07930.1.MSUv7.0
332,LOC_Os02g56860.1.MSUv7.0
333,LOC_Os02g13060.1.MSUv7.0
334,LOC_Os11g11390.1.MSUv7.0
335,LOC_Os09g34310.2.MSUv7.0
336,LOC_Os05g02780.4.MSUv7.0
337,LOC_Os01g03310.1.MSUv7.0
338,LOC_Os06g09900.1.MSUv7.0
339,LOC_Os06g46770.1.MSUv7.0
340,LOC_Os12g35630.3.MSUv7.0
341,LOC_Os05g41900.1.MSUv7.0
342,LOC_Os04g42095.1.MSUv7.0
343,LOC_Os08g44480.1.MSUv7.0
344,LOC_Os08g04440.2.MSUv7.0
345,LOC_Os08g02630.1.MSUv7.0
346,LOC_Os11g42960.1.MSUv7.0
347,LOC_Os05g10670.1.MSUv7.0
348,LOC_Os04g53950.2.MSUv7.0
349,LOC_Os06g49180.1.MSUv7.0
350,LOC_Os11g01790.1.MSUv7.0
351,LOC_Os01g62370.1.MSUv7.0
352,LOC_Os01g65690.1.MSUv7.0
353,LOC_Os11g02389.1.MSUv7.0
354,LOC_Os01g55110.1.MSUv7.0
355,LOC_Os01g58550.1.MSUv7.0
356,LOC_Os03g01960.1.MSUv7.0
357,LOC_Os07g08660.1.MSUv7.0
358,LOC_Os11g02440.1.MSUv7.0
359,LOC_Os09g24690.1.MSUv7.0
360,LOC_Os08g28230.1.MSUv7.0
361,LOC_Os05g03860.1.MSUv7.0
362,LOC_Os03g22900.1.MSUv7.0
363,LOC_Os01g24690.1.MSUv7.0
364,LOC_Os12g38140.1.MSUv7.0
365,LOC_Os04g02354.1.MSUv7.0
366,LOC_Os07g01950.1.MSUv7.0
367,LOC_Os06g36560.2.MSUv7.0
368,LOC_Os06g10880.2.MSUv7.0
369,LOC_Os08g43560.3.MSUv7.0
370,LOC_Os09g28200.1.MSUv7.0
371,LOC_Os04g04020.1.MSUv7.0
372,LOC_Os01g10400.2.MSUv7.0
373,LOC_Os06g49800.1.MSUv7.0
374,LOC_Os03g40180.1.MSUv7.0
375,LOC_Os12g02290.1.MSUv7.0
376,LOC_Os11g02424.2.MSUv7.0
377,LOC_Os07g44280.1.MSUv7.0
378,LOC_Os10g39840.1.MSUv7.0
379,LOC_Os01g59990.2.MSUv7.0
380,LOC_Os04g39110.2.MSUv7.0
381,LOC_Os06g15400.1.MSUv7.0
382,LOC_Os11g13890.1.MSUv7.0
383,LOC_Os04g47220.1.MSUv7.0
384,LOC_Os05g32220.1.MSUv7.0
385,LOC_Os12g10650.1.MSUv7.0
386,LOC_Os01g68480.1.MSUv7.0
387,LOC_Os07g32800.2.MSUv7.0
