,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
A11,-189.7898793,-141.7195647,-112.8016983,-81.26717863,-39.43706903,-28.20940329,-11.38500698,33.8612888,45.17019051,98.1061119,115.4328885,189.1930087,206.3957936,198.9520137,212.4521487,178.8803165,202.60977,217.1959016,229.3855722,237.6374362,232.6585266,196.2648134,147.2089783,120.9419698,136.614098,164.4929992,197.3166054,202.8128599,219.0835689,233.8792039,260.7041753,259.8811266,217.242933,238.9863808,300.7364046,521.9654582,822.910511,1206.10698,1592.45455,1935.958698
A12,-39.41483603,-20.93792914,-27.88360431,-21.42534494,-9.979624757,6.887527321,-20.22604553,7.907252485,15.41089048,34.29825279,19.78053039,0.598153251,9.130067566,15.62466934,21.38173405,23.73971488,18.70522272,63.20756807,71.17083061,69.06297105,76.48751087,90.85345028,126.3599812,120.9128958,134.1244294,179.858141,213.5625161,198.0635487,205.5244309,223.7704567,280.0391905,283.7974229,271.0711673,264.2473461,266.3573434,280.4432325,255.3156653,223.4198593,253.0987785,262.5242885
B1,1.19E-15,1.29E-11,2.98E-09,1.41E-07,2.81E-06,3.25E-05,0.000256562,0.001538212,0.007466301,0.030678375,0.110157276,0.353871676,1.035299069,2.796834247,7.052750986,16.74388061,37.67402422,80.72757626,165.2241749,323.2121071,603.0077614,1067.043082,1775.280708,2748.624852,3928.373088,5174.728671,6326.491281,7275.015718,7990.360683,8498.315824,8845.883657,9078.984276,9233.982438,9336.92113,9405.510486,9451.484865,9482.530776,9503.668389,9518.183183,9528.236109
B2,3.15E-14,1.77E-10,2.77E-08,9.98E-07,1.61E-05,0.000155857,0.001063535,0.005613295,0.024348793,0.090473889,0.296609896,0.876860115,2.376449718,5.980253828,14.11318794,31.47753751,66.73652758,135.0251223,261.1942791,482.8113534,849.9896793,1416.447379,2216.289416,3231.208866,4372.725774,5507.141997,6513.105976,7325.231585,7936.726363,8376.022814,8682.689721,8893.508495,9037.529769,9135.881251,9203.268438,9249.697079,9281.905206,9304.417113,9320.275443,9331.535201
B3,7.70E-16,9.16E-12,2.22E-09,1.09E-07,2.24E-06,2.64E-05,0.000212968,0.001298597,0.006397864,0.02664101,0.096820664,0.314471178,0.929387678,2.534335864,6.446616462,15.42899216,34.97555307,75.45437147,155.3400638,305.2613099,570.9588938,1009.850318,1672.51921,2565.88807,3619.176136,4695.249589,5655.415625,6420.988731,6982.879001,7373.384369,7636.213354,7810.271713,7924.882014,8000.406251,8050.407006,8083.739401,8106.141064,8121.327909,8131.715438,8138.883459
B4,8.70E-14,4.15E-10,5.89E-08,1.98E-06,3.03E-05,0.000280807,0.001847039,0.009443192,0.039827672,0.144318511,0.462501051,1.339171763,3.560534682,8.801543964,20.42493335,44.82584432,93.53766494,186.1940364,353.913849,641.2823383,1102.581697,1785.877471,2702.90119,3799.469557,4957.515367,6041.529839,6955.347353,7665.308292,8186.040154,8554.160771,8808.95936,8983.550563,9102.850327,9184.521515,9240.697577,9279.585826,9306.704902,9325.764713,9339.267324,9348.909175
B5,9.41E-16,1.18E-11,2.95E-09,1.48E-07,3.09E-06,3.70E-05,0.000301885,0.00185956,0.009243975,0.038801817,0.142041249,0.464404051,1.380842499,3.786436681,9.680740186,23.27486653,52.96224595,114.5613821,236.0215186,462.6405276,858.6454787,1495.516165,2415.941618,3581.658273,4853.59816,6049.343299,7036.290034,7773.652094,8288.558284,8633.759019,8860.296577,9007.700452,9103.563656,9166.17315,9207.350233,9234.660946,9252.940973,9265.291733,9273.714875,9279.512385
B6,2.25E-14,1.48E-10,2.53E-08,9.71E-07,1.64E-05,0.00016603,0.001172651,0.006376619,0.028397343,0.108030254,0.361786944,1.090517616,3.008687697,7.696737665,18.44088169,41.70013613,89.49117611,182.8756678,356.125181,659.3680313,1154.109555,1893.120248,2882.506091,4047.785497,5245.352816,6327.082727,7203.973053,7859.642341,8324.037,8642.391913,8856.935001,9000.55646,9096.696057,9161.309183,9205.01164,9234.798843,9255.27172,9269.464397,9279.388482,9286.386879
B7,8.08E-12,1.99E-08,1.91E-06,4.88E-05,0.000602842,0.004699653,0.026676182,0.120036878,0.452332599,1.481835738,4.33401769,11.53917906,28.37282516,65.10701645,140.4202259,285.7086302,548.4432633,989.3833554,1664.974415,2590.758428,3704.344982,4869.840476,5938.356892,6814.594603,7475.638256,7947.224518,8272.57219,8493.180684,8641.802931,8741.966146,8809.777343,8856.006032,8887.782798,8909.820736,8925.244478,8936.137586,8943.899677,8949.478671,8953.5221,8956.476155
B8,6.07E-13,2.69E-09,3.65E-07,1.19E-05,0.000177856,0.001618916,0.010475617,0.052803086,0.219929794,0.788019812,2.499552768,7.167811782,18.87601144,46.18033242,105.8077235,228.0554282,462.6176757,879.4632006,1552.843944,2516.979891,3710.355096,4970.14733,6111.73064,7022.549581,7684.907984,8138.738084,8439.427471,8635.563993,8762.965361,8845.941109,8900.341871,8936.322321,8960.354589,8976.571512,8987.627646,8995.241798,9000.537142,9004.254773,9006.888502,9008.77059
B9,2.72E-11,5.16E-08,4.27E-06,9.80E-05,0.00111329,0.008109286,0.043461881,0.186080728,0.671105285,2.113885509,5.966682192,15.37788882,36.69403021,81.88571341,172.0657217,341.6870217,641.3836192,1134.327963,1878.192289,2889.576319,4108.195799,5398.707836,6605.786887,7620.667938,8406.832614,8982.207594,9388.608447,9670.076488,9863.336388,9995.833989,10086.94706,10149.96097,10193.85949,10224.68971,10246.52569,10262.12373,10273.36011,10281.5213,10287.49634,10291.90454
B10,-154.5081783,-128.1133574,-79.14450148,-38.83663731,-7.815688745,-15.66726107,19.12146357,9.390080889,-5.028594647,7.950659944,6.759977462,87.07803517,112.6634367,134.4280522,107.7600268,93.81640092,95.04378252,134.2996053,114.9183935,148.0760463,189.9884774,242.6170509,247.4327907,243.6915195,242.28472,250.5338661,235.5483931,250.8396921,211.8101805,211.1883344,232.4513953,198.6943237,171.4003744,135.8593178,139.1663161,249.4349314,471.4156607,744.1940853,1053.314831,1344.722135
B11,7.43E-29,8.15E-23,2.78E-19,8.93E-17,7.86E-15,3.05E-13,6.72E-12,9.79E-11,1.04E-09,8.62E-09,5.83E-08,3.34E-07,1.67E-06,7.37E-06,2.94E-05,0.000107365,0.000362352,0.001140762,0.003375386,0.0094467,0.025143405,0.063941698,0.155997095,0.366394504,0.831024864,1.825035799,3.889723319,8.06097321,16.26737343,31.99622769,61.34319485,114.505793,207.4966341,363.049342,608.1754516,964.62888,1431.628053,1971.279807,2515.620761,2997.60952
