,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
C10,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
C11,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
C12,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
D1,2.18E-17,2.15E-13,4.65E-11,2.11E-09,4.08E-08,4.58E-07,3.54E-06,2.08E-05,9.93E-05,0.00040168,0.001422279,0.00451095,0.01304295,0.034851898,0.08698772,0.204504992,0.455762428,0.967178046,1.959014024,3.786614346,6.961404082,12.08917332,19.63927893,29.54817234,40.92904682,52.29966342,62.28511992,70.17681957,75.95353909,79.97571349,82.69569231,84.50857166,85.71098658,86.50941949,87.04213432,87.40000847,87.64235415,87.80787139,87.92190464,88.00115179
D2,1.07E-17,1.23E-13,2.92E-11,1.41E-09,2.87E-08,3.36E-07,2.68E-06,1.63E-05,7.96E-05,0.000329724,0.001192488,0.003855988,0.011349376,0.030830726,0.078143484,0.186381703,0.421066142,0.905168028,1.856110464,3.629898429,6.746687316,11.83199512,19.37814401,29.32298742,40.73854489,52.08185462,61.95123815,69.66247013,75.23958515,79.07792603,81.64580794,83.34059836,84.45467365,85.18839087,85.6742093,85.99825616,86.21621843,86.36412862,86.46540608,86.53537285
D3,8.40E-17,6.23E-13,1.14E-10,4.62E-09,8.14E-08,8.48E-07,6.15E-06,3.43E-05,0.000155735,0.000603488,0.002055092,0.006289888,0.017599865,0.045620007,0.110676602,0.253335835,0.55043708,1.139943833,2.254735121,4.257070525,7.645016266,12.9705595,20.60213791,30.37011057,41.36557399,52.21291386,61.69817258,69.21791898,74.76886279,78.67878717,81.357691,83.16762624,84.38444716,85.20319118,85.756484,86.13279237,86.39066841,86.56882528,86.69293626,86.78011913
D4,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
D5,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
D6,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
D7,2.20E-23,5.91E-18,8.86E-15,1.59E-12,8.87E-11,2.38E-09,3.83E-08,4.26E-07,3.56E-06,2.38E-05,0.000132794,0.000637612,0.002698172,0.010235097,0.035141472,0.108965026,0.297903174,0.680409824,1.222605154,1.724952353,2.048594798,2.215960628,2.294635186,2.33070753,2.347363569,2.355207622,2.358991467,2.360862512,2.361810323,2.362301629,2.362561892,2.36270261,2.362780168,2.362823695,2.362848542,2.362862955,2.362871444,2.362876515,2.362879587,2.362881471
